manufacturer,productMake,productModel,productYear,components,numComplaints,dateExtraction
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,AIR,2,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,AIR BAGS,6,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,BACK OVER PREVENTION,2,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,ELECTRICAL SYSTEM,84,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,ENGINE,108,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,ENGINE AND ENGINE COOLING,2,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,EXTERIOR LIGHTING,2,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,FORWARD COLLISION AVOIDANCE,6,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,FUEL SYSTEM,16,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,FUEL/PROPULSION SYSTEM,38,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,GASOLINE,16,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,HYBRID PROPULSION SYSTEM,2,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,HYDRAULIC,2,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,LANE DEPARTURE,2,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,POWER TRAIN,61,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,SEAT BELTS,2,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,SEATS,4,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,SERVICE BRAKES,14,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,STEERING,132,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,STRUCTURE,6,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,SUSPENSION,85,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,TIRES,2,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,UNKNOWN OR OTHER,48,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,VEHICLE SPEED CONTROL,20,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,VISIBILITY,1,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,VISIBILITY/WIPER,13,2023-11-03
"Chrysler (FCA US, LLC)",JEEP,WRANGLER,2021,WHEELS,12,2023-11-03
